stableEdge,priv_auto,on_demand,carpool,walking,biking,total,direction,streetName,Year,Type,yearbinary,treatment
"9609105679564952656",992,107,652,323,423,2707,W,E Street Northwest,2022,Study Area,1,2
"10219692652020360582",148,12,48,105,25,346,W,R Street Northwest,2022,Controls,1,0
"13915511851135381349",1128,106,568,317,1137,4131,W,Q Street Northwest,2022,Controls,1,0
"7617386597249683932",714,103,1313,37,571,2760,W,D Street Southeast,2022,Controls,1,0
"5950476472895584335",1081,121,748,91,89,2355,W,E Street Northwest,2022,Study Area,1,2
"6505269602171699606",678,91,1167,129,430,2518,W,D Street Southeast,2022,Controls,1,0
"7734311974794780699",583,72,564,350,317,2092,W,E Street Northwest,2022,Controls,1,0
"10545540217566582804",376,72,374,204,339,1404,W,R Street Northwest,2022,Controls,1,0
"4094159509413703428",5579,175,1060,627,196,7773,W,Franklin Street Northeast,2022,Controls,1,0
"11576070001179274028",578,90,523,111,336,1689,W,R Street Northwest,2022,Controls,1,0
"6736673530619429095",312,71,464,278,309,1492,W,R Street Northwest,2022,Controls,1,0
"13839679258661551281",3451,252,1024,461,331,5602,W,D Street Northwest,2022,Controls,1,0
"2971184264599000353",670,113,440,288,1324,2873,W,R Street Northwest,2022,Controls,1,0
"4088445723538925029",660,120,699,441,362,2368,W,R Street Northwest,2022,Controls,1,0
"8613254123262243519",684,90,864,192,469,2311,W,I Street Northwest,2022,Study Area,1,2
"1700822463176970723",1172,146,477,685,649,3135,W,M Street Northwest,2022,Study Area,1,2
"9591355573174083655",218,10,187,153,112,683,W,E Street Southwest,2022,Controls,1,0
"15877680403974409477",427,55,341,310,800,1949,W,I Street Southwest,2022,Controls,1,0
"7001279259051893631",227,19,167,839,504,1827,W,V Street Northwest,2022,Controls,1,0
"3624655529124165201",1413,98,606,232,1587,3938,W,D Street Northeast,2022,Controls,1,0
"3796686833056314447",1128,106,563,315,1137,4125,W,Q Street Northwest,2022,Controls,1,0
